I0A93-0002,902838P1B                ,06 ,20.00000,2011-06-17 07:45:00.000,10,15     ,2011-06-23 11:30:00.000,2011-06-23 12:25:00.000
I0A93-0002,902838P1B                ,06 ,20.00000,2011-06-17 07:45:00.000,20,35     ,2011-06-24 07:25:00.000,2011-06-24 08:33:00.000
I0A93-0002,902838P1B                ,06 ,20.00000,2011-06-17 07:45:00.000,30,35     ,2011-06-24 09:03:00.000,2011-06-24 10:15:00.000
I0A93-0002,902838P1B                ,06 ,20.00000,2011-06-17 07:45:00.000,40,65     ,2011-06-24 11:04:00.000,2011-06-24 11:28:00.000
I0A93-0003,902838P1C                ,06 ,20.00000,2011-06-17 07:45:00.000,20,15     ,2011-06-23 15:50:00.000,2011-06-23 16:51:00.000
I0A93-0003,902838P1C                ,06 ,20.00000,2011-06-17 07:45:00.000,30,35     ,2011-06-23 17:21:00.000,2011-06-23 18:07:00.000
I0A93-0003,902838P1C                ,06 ,20.00000,2011-06-17 07:45:00.000,40,35     ,2011-06-23 18:37:00.000,2011-06-23 19:45:00.000
I0A93-0003,902838P1C                ,06 ,20.00000,2011-06-17 07:45:00.000,50,35     ,2011-06-23 20:15:00.000,2011-06-23 21:08:00.000
I0A93-0004,902838P1D                ,06 ,20.00000,2011-06-17 07:45:00.000,10,15     ,2011-06-23 12:25:00.000,2011-06-23 13:26:00.000
I0A93-0004,902838P1D                ,06 ,20.00000,2011-06-17 07:45:00.000,30,35     ,2011-06-24 08:26:00.000,2011-06-24 09:12:00.000
I0A93-0004,902838P1D                ,06 ,20.00000,2011-06-17 07:45:00.000,40,35     ,2011-06-24 10:11:00.000,2011-06-24 11:19:00.000
I0A93-0004,902838P1D                ,06 ,20.00000,2011-06-17 07:45:00.000,50,35     ,2011-06-24 11:49:00.000,2011-06-24 12:45:00.000
I0A1S-0000,STD38234C                ,   ,600.00000,2011-06-17 10:10:00.000,10,145-CAT,2011-06-22 09:53:00.000,2011-06-23 12:21:00.000
I09VP-0000,AUX01-12-GR              ,3  ,100.00000,2011-06-17 13:40:00.000,10,157-CAT,2011-06-10 13:51:00.000,2011-06-13 08:01:00.000
I09VP-0000,AUX01-12-GR              ,3  ,100.00000,2011-06-17 13:40:00.000,20,96-CAT ,2011-06-24 05:00:00.000,2011-06-24 06:40:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,10,17     ,2011-05-11 14:22:00.000,2011-05-11 15:08:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,20,80     ,2011-06-13 08:48:00.000,2011-06-13 09:09:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,30,70     ,2011-06-13 07:11:00.000,2011-06-13 07:34:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,40,60     ,2011-06-13 08:04:00.000,2011-06-13 08:20:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,50,90     ,2011-06-13 08:50:00.000,2011-06-13 09:21:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,60,140    ,2011-06-14 07:14:00.000,2011-06-14 07:45:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,70,SUBPREC,2011-06-15 07:10:00.000,2011-06-22 07:10:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,80,65     ,2011-06-16 07:54:00.000,2011-06-16 08:02:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,90,90     ,2011-06-17 07:06:00.000,2011-06-17 07:37:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,100,94     ,2011-06-17 07:37:00.000,2011-06-17 07:50:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,110,96     ,2011-06-17 08:20:00.000,2011-06-17 08:27:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,120,240    ,2011-06-20 07:20:00.000,2011-06-20 07:28:00.000
I09GL-0000,MPAMTADM6350             ,04 ,1.00000,2011-06-17 23:59:00.000,130,91     ,2011-06-20 07:28:00.000,2011-06-20 07:59:00.000
I0A3I-0000,3550HZL0004EX            ,C  ,38.00000,2011-06-17 23:59:00.000,10,SUBPREC,2011-06-15 07:10:00.000,2011-06-16 00:00:00.000
I0A3I-0000,3550HZL0004EX            ,C  ,38.00000,2011-06-17 23:59:00.000,20,94     ,2011-06-20 07:18:00.000,2011-06-20 11:41:00.000
I0A3I-0000,3550HZL0004EX            ,C  ,38.00000,2011-06-17 23:59:00.000,30,96     ,2011-06-22 14:23:00.000,2011-06-24 05:01:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,10,70     ,2011-06-07 07:58:00.000,2011-06-10 10:28:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,15,60     ,2011-06-10 10:28:00.000,2011-06-13 09:28:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,20,65     ,2011-06-10 21:31:00.000,2011-06-13 07:43:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,30,90     ,2011-06-13 08:13:00.000,2011-06-13 08:14:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,40,140    ,2011-06-14 07:14:00.000,2011-06-14 07:15:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,50,SUBPREC,2011-06-15 07:10:00.000,2011-06-18 00:00:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,60,94     ,2011-06-20 07:18:00.000,2011-06-21 09:24:00.000
I09OZ-0001,MA555303001              ,A  ,50.00000,2011-06-20 12:49:00.000,80,96     ,2011-06-22 14:20:00.000,2011-06-24 05:04:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,10,15     ,2011-06-14 19:06:00.000,2011-06-15 07:14:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,20,60     ,2011-06-16 11:31:00.000,2011-06-16 12:46:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,30,35     ,2011-06-16 12:46:00.000,2011-06-16 13:14:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,40,35     ,2011-06-17 09:58:00.000,2011-06-17 10:44:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,50,90     ,2011-06-17 11:14:00.000,2011-06-17 11:45:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,60,94     ,2011-06-21 12:19:00.000,2011-06-21 12:58:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,70,96     ,2011-06-21 13:23:00.000,2011-06-21 13:33:00.000
I09YA-0000,6090377000               ,D  ,31.00000,2011-06-20 23:59:00.000,80,91     ,2011-06-22 12:03:00.000,2011-06-22 12:04:00.000
I09ZY-0000,BAT150196/22             ,N  ,20.00000,2011-06-21 00:00:00.000,10,240    ,2011-06-24 07:00:00.000,2011-06-28 09:55:00.000
I09UX-0001,MPAMTACM9901             ,05 ,17.00000,2011-06-21 09:18:00.000,10,17     ,2011-06-14 16:00:00.000,2011-06-14 17:33:00.000
I09UX-0001,MPAMTACM9901             ,05 ,17.00000,2011-06-21 09:18:00.000,20,35     ,2011-06-16 12:29:00.000,2011-06-16 13:16:00.000
I09UX-0001,MPAMTACM9901             ,05 ,17.00000,2011-06-21 09:18:00.000,30,65     ,2011-06-16 08:02:00.000,2011-06-16 09:59:00.000
I09UX-0001,MPAMTACM9901             ,05 ,17.00000,2011-06-21 09:18:00.000,40,65     ,2011-06-16 19:04:00.000,2011-06-16 21:22:00.000
I09UX-0001,MPAMTACM9901             ,05 ,17.00000,2011-06-21 09:18:00.000,50,65     ,2011-06-16 21:22:00.000,2011-06-16 22:19:00.000
I09UX-0001,MPAMTACM9901             ,05 ,17.00000,2011-06-21 09:18:00.000,60,35     ,2011-06-23 09:16:00.000,2011-06-23 09:48:00.000
I09UX-0001,MPAMTACM9901             ,05 ,17.00000,2011-06-21 09:18:00.000,70,35     ,2011-06-23 12:25:00.000,2011-06-23 12:53:00.000
I0A6X-0001,1989C67H01               ,11 ,20.00000,2011-06-21 12:24:00.000,10,145    ,2011-06-24 10:00:00.000,2011-06-24 10:29:00.000
I0A6X-0001,1989C67H01               ,11 ,20.00000,2011-06-21 12:24:00.000,25,20     ,2011-06-24 10:59:00.000,2011-06-24 11:44:00.000
I0A6X-0002,1989C67H03               ,11 ,5.00000,2011-06-21 12:24:00.000,10,145    ,2011-06-24 09:19:00.000,2011-06-24 10:00:00.000
I0A6X-0002,1989C67H03               ,11 ,5.00000,2011-06-21 12:24:00.000,20,156    ,2011-07-18 13:47:00.000,2011-07-19 08:02:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,10,17     ,2011-05-10 13:37:00.000,2011-05-10 13:53:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,20,35     ,2011-05-09 17:49:00.000,2011-05-09 17:57:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,30,35     ,2011-05-09 19:15:00.000,2011-05-09 19:26:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,40,35     ,2011-05-09 20:42:00.000,2011-05-09 20:56:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,50,35     ,2011-05-09 21:02:00.000,2011-05-09 21:16:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,60,35     ,2011-05-10 07:24:00.000,2011-05-10 07:44:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,70,90     ,2011-05-10 07:09:00.000,2011-05-10 07:40:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,80,140    ,2011-05-10 07:40:00.000,2011-05-10 08:11:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,90,SUBPREC,2011-05-11 07:13:00.000,2011-05-14 00:00:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,100,94     ,2011-06-23 07:46:00.000,2011-06-23 07:55:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,110,96     ,2011-06-22 14:29:00.000,2011-06-24 05:01:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,120,135    ,2011-06-24 13:01:00.000,2011-06-24 13:35:00.000
I09GM-0000,MPAMTADM6450             ,02 ,1.00000,2011-06-21 23:59:00.000,130,91     ,2011-06-24 13:35:00.000,2011-06-24 14:06:00.000
I092L-0002,2198D72H02               ,12 ,10.00000,2011-06-22 11:47:00.000,10,15     ,2011-06-22 19:16:00.000,2011-06-22 19:36:00.000
I092L-0002,2198D72H02               ,12 ,10.00000,2011-06-22 11:47:00.000,20,50     ,2011-06-23 15:00:00.000,2011-06-23 15:06:00.000
I092L-0003,2198D72H03               ,12 ,20.00000,2011-06-22 11:47:00.000,10,15     ,2011-06-22 19:05:00.000,2011-06-22 19:16:00.000
I092L-0003,2198D72H03               ,12 ,20.00000,2011-06-22 11:47:00.000,20,75     ,2011-06-23 07:46:00.000,2011-06-23 08:25:00.000
I09ZV-0000,9291X                    ,E  ,26.00000,2011-06-22 23:59:00.000,10,70     ,2011-07-06 09:46:00.000,2011-07-19 07:16:00.000
I09ZV-0000,9291X                    ,E  ,26.00000,2011-06-22 23:59:00.000,20,70     ,2011-07-14 07:16:00.000,2011-07-26 12:16:00.000
